Order ID;Order Date;Order Quantity;Customer ID;Customer Name;Customer City;Latitude;Longitude;Customer Country;Customer Loyalty Card;Product ID;Product Coffee Type;Product Roast Type;Product Size (kg);Product Unit Price;Product Price per 100g;Product Profit;Total Profit
AKV-93064-769;12/12/2019;1;22305-40299-CY;Terry Sheryn;Port Washington;40,8256561;-73,6981858;United States;Yes;L-D-0.5;Liberica;Dark;0,5;7,77;1,554;1,0101;1,0101
ALA-62598-016;19/02/2020;6;57145-03803-ZL;Noak Wyvill;Edinburgh;55,953252;-3,188267;United Kingdom;Yes;R-D-0.2;Robusta;Dark;0,2;2,685;1,3425;0,1611;0,9666
ALM-80762-974;23/03/2020;3;84045-66771-SL;Charlean Keave;Pensacola;30,421309;-87,2169149;United States;No;A-L-0.5;Arabika;Light;0,5;7,77;1,554;0,6993;2,0979
ALP-37623-536;03/07/2020;6;24689-69376-XX;Charmane Denys;Carlton;54,7023545;-3,2765753;United Kingdom;No;L-L-1;Liberica;Light;1;15,85;1,585;2,0605;12,363
ALR-62963-723;21/06/2020;3;80463-43913-WZ;Malynda Purbrick;Balally;53,2766137;-6,2315343;Ireland;Yes;R-D-0.2;Robusta;Dark;0,2;2,685;1,3425;0,1611;0,4833
AMB-93600-000;14/05/2019;1;64435-53100-WM;Tomasina Cotmore;Reston;38,9586307;-77,3570028;United States;No;A-L-2.5;Arabika;Light;2,5;29,785;1,1914;2,68065;2,68065
AMM-79521-378;01/06/2021;6;24825-51803-CQ;Faber Eilhart;Charleston;32,7833163;-79,9319664;United States;No;A-D-0.5;Arabika;Dark;0,5;5,97;1,194;0,5373;3,2238
AMT-40418-362;08/08/2020;1;04513-76520-QO;Jacinthe Balsillie;Roanoke;37,2709704;-79,9414266;United States;Yes;L-D-1;Liberica;Dark;1;12,95;1,295;1,6835;1,6835
ANK-59436-446;17/01/2022;4;17488-65879-XL;Eal D'Ambrogio;Lees Summit;38,9108408;-94,3821724;United States;Yes;E-L-0.5;Excelca;Light;0,5;8,91;1,782;0,9801;3,9204
ANM-16388-634;19/11/2021;2;77343-52608-FF;Nat Saleway;Burbank;34,1808392;-118,3089661;United States;No;L-L-0.2;Liberica;Light;0,2;4,755;2,3775;0,61815;1,2363
AOL-13866-711;14/02/2019;4;83490-88357-LJ;Eustace Stenton;Austin;30,267153;-97,7430608;United States;Yes;E-M-1;Excelca;Medium;1;13,75;1,375;1,5125;6,05
AOT-70449-651;11/06/2022;5;53414-73391-CR;Cindra Burling;Schenectady;42,8142432;-73,9395687;United States;Yes;R-D-2.5;Robusta;Dark;2,5;20,585;0,8234;1,2351;6,1755
AOX-44467-109;15/06/2021;1;72524-06410-KD;Haslett Jodrelle;Miami;25,7616798;-80,1917902;United States;No;A-D-2.5;Arabika;Dark;2,5;22,885;0,9154;2,05965;2,05965
ASG-27179-958;10/12/2021;3;12607-75113-UV;Jule Deehan;Dallas;32,7766642;-96,7969879;United States;No;A-M-0.5;Arabika;Medium;0,5;6,75;1,35;0,6075;1,8225
ASS-05878-128;10/10/2020;2;66580-33745-OQ;Shelley Gehring;Spartanburg;34,9495672;-81,9320482;United States;No;E-L-0.5;Excelca;Light;0,5;8,91;1,782;0,9801;1,9602
ATY-28980-884;31/07/2020;6;50705-17295-NK;Cristina Aleixo;Colorado Springs;38,8338816;-104,8213634;United States;No;A-L-0.2;Arabika;Light;0,2;3,885;1,9425;0,34965;2,0979
AUP-10128-606;01/10/2020;1;54387-64897-XC;Fransisco Malecky;Whitwell;53,284984;-1,2101928;United Kingdom;No;A-M-0.5;Arabika;Medium;0,5;6,75;1,35;0,6075;0,6075
AVH-56062-335;21/11/2021;5;18082-74419-QH;Miran Doidge;Salinas;36,6777372;-121,6555013;United States;No;E-M-0.5;Excelca;Medium;0,5;8,25;1,65;0,9075;4,5375
AVK-76526-953;04/03/2021;2;47268-50127-XY;Lynnea Danton;El Paso;31,7618778;-106,4850217;United States;No;A-D-1;Arabika;Dark;1;9,95;0,995;0,8955;1,791
AWH-16980-469;11/05/2020;6;27493-46921-TZ;Fanny Flanagan;Tyler;39,929291;-76,697176;United States;No;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;3,4047
AWP-11469-510;11/04/2020;2;76730-63769-ND;Ryann Stickler;Birmingham;54,7023545;-3,2765753;United Kingdom;No;E-D-1;Excelca;Dark;1;12,15;1,215;1,3365;2,673
AWT-22827-563;25/01/2020;1;12018-75670-EU;Melania Beadle;Moycullen;53,3387481;-9,1814776;Ireland;Yes;R-L-0.2;Robusta;Light;0,2;3,585;1,7925;0,2151;0,2151
AXN-57779-891;14/07/2019;3;09668-23340-IC;Donavon Fowle;Colorado Springs;38,8338816;-104,8213634;United States;No;R-M-0.2;Robusta;Medium;0,2;2,985;1,4925;0,1791;0,5373
AXR-10962-010;28/03/2021;2;53683-35977-KI;Myles Seawright;Newton;50,529644;-3,61121;United Kingdom;No;E-D-1;Excelca;Dark;1;12,15;1,215;1,3365;2,673
AYY-83051-752;22/01/2019;6;46431-09298-OU;Carolee Winchcombe;Little Rock;34,7444618;-92,2880157;United States;Yes;L-L-1;Liberica;Light;1;15,85;1,585;2,0605;12,363
AZF-45991-584;12/10/2019;1;73759-17258-KA;Lora Dukes;Boyle;53,9722082;-8,2972756;Ireland;Yes;A-D-2.5;Arabika;Dark;2,5;22,885;0,9154;2,05965;2,05965
BAF-42286-205;08/06/2022;4;43074-00987-PB;Oran Colbeck;Montgomery;32,3792233;-86,3077368;United States;No;R-M-2.5;Robusta;Medium;2,5;22,885;0,9154;1,3731;5,4924
BAQ-74241-156;24/07/2020;4;99869-55718-UU;Ransell McKall;Bristol;51,454513;-2,58791;United Kingdom;Yes;R-D-0.2;Robusta;Dark;0,2;2,685;1,3425;0,1611;0,6444
BDM-03174-485;16/03/2019;4;29581-13303-VB;Wright Caldero;Anaheim;33,8365932;-117,9143012;United States;No;R-L-0.5;Robusta;Light;0,5;7,17;1,434;0,4302;1,7208
BGB-67996-089;30/01/2022;5;06279-72603-JE;Rana Sharer;Huntington;33,678334;-118,000017;United States;No;R-D-1;Robusta;Dark;1;8,95;0,895;0,537;2,685
BHA-47429-889;20/06/2020;3;51114-51191-EW;Kienan Ferson;Mobile;30,694357;-88,043054;United States;No;E-L-0.2;Excelca;Light;0,2;4,455;2,2275;0,49005;1,47015
BIU-21970-705;07/12/2020;2;89711-56688-GG;Friederike Drysdale;Midland;31,9973456;-102,0779146;United States;Yes;R-M-2.5;Robusta;Medium;2,5;22,885;0,9154;1,3731;2,7462
BKK-47233-845;08/03/2021;4;76239-90137-UQ;Ferrell Ferber;San Jose;37,33874;-121,8852525;United States;No;A-D-1;Arabika;Dark;1;9,95;0,995;0,8955;3,582
BLD-12227-251;04/03/2021;2;64395-74865-WF;Ilysa Whapple;Fresno;36,7377981;-119,7871247;United States;No;A-M-0.5;Arabika;Medium;0,5;6,75;1,35;0,6075;1,215
BLI-21697-702;05/12/2019;2;21141-12455-VB;Shelli De Banke;Saint Louis;38,6270025;-90,1994042;United States;Yes;A-M-0.5;Arabika;Medium;0,5;6,75;1,35;0,6075;1,215
BLQ-03709-265;04/08/2022;5;72463-75685-MV;Charis Crosier;Lees Summit;38,9108408;-94,3821724;United States;No;R-M-0.2;Robusta;Medium;0,2;2,985;1,4925;0,1791;0,8955
BLQ-03709-265;04/08/2022;3;72463-75685-MV;Charis Crosier;Lees Summit;38,9108408;-94,3821724;United States;No;R-L-0.2;Robusta;Light;0,2;3,585;1,7925;0,2151;0,6453
BLV-60087-454;08/06/2022;3;84493-71314-WX;Tymon Zanetti;Loughrea;53,1989136;-8,5660931;Ireland;No;E-L-0.2;Excelca;Light;0,2;4,455;2,2275;0,49005;1,47015
BLV-60087-454;08/06/2022;5;84493-71314-WX;Tymon Zanetti;Loughrea;53,1989136;-8,5660931;Ireland;No;A-M-0.5;Arabika;Medium;0,5;6,75;1,35;0,6075;3,0375
BMK-49520-383;03/12/2019;3;72233-08665-IP;Kiri Avramow;Tyler;39,929291;-76,697176;United States;Yes;R-L-0.2;Robusta;Light;0,2;3,585;1,7925;0,2151;0,6453
BMM-86471-923;22/10/2020;1;76319-80715-II;Dallas Yarham;Independence;39,0911161;-94,4155068;United States;Yes;L-D-2.5;Liberica;Dark;2,5;29,785;1,1914;3,87205;3,87205
BNQ-88920-567;30/12/2019;6;27226-53717-SY;Ilka Gurnee;Salt Lake City;40,7607793;-111,8910474;United States;No;L-D-0.2;Liberica;Dark;0,2;3,885;1,9425;0,50505;3,0303
BNZ-20544-633;21/10/2020;4;31798-95707-NR;Gothart Bamfield;Irving;32,8140177;-96,9488945;United States;Yes;L-L-0.5;Liberica;Light;0,5;9,51;1,902;1,2363;4,9452
BOR-02906-411;17/10/2021;6;08743-09057-OO;Tallie felip;Albany;42,6525793;-73,7562317;United States;Yes;L-D-2.5;Liberica;Dark;2,5;29,785;1,1914;3,87205;23,2323
BPC-54727-307;21/12/2019;4;18684-73088-YL;Gaspar McGavin;Wilkes Barre;41,2459149;-75,8813075;United States;No;R-L-1;Robusta;Light;1;11,95;1,195;0,717;2,868
BPG-68988-842;21/02/2019;5;53631-24432-SY;Irvine Phillpot;Wootton;52,097826;-0,527125;United Kingdom;No;E-M-0.5;Excelca;Medium;0,5;8,25;1,65;0,9075;4,5375
BPT-83989-157;27/10/2021;2;84269-49816-ML;Portie Cutchie;Greensboro;36,0726354;-79,7919754;United States;No;A-M-2.5;Arabika;Medium;2,5;25,875;1,035;2,32875;4,6575
BPZ-51283-916;29/08/2021;2;87688-42420-TO;Kylie Mowat;Milwaukee;43,0389025;-87,9064736;United States;No;A-M-2.5;Arabika;Medium;2,5;25,875;1,035;2,32875;4,6575
BQI-61647-496;13/06/2021;5;84340-73931-VV;Connor Heaviside;Phoenix;33,4483771;-112,0740373;United States;Yes;E-M-1;Excelca;Medium;1;13,75;1,375;1,5125;7,5625
BQJ-44755-910;28/02/2020;6;75006-89922-VW;Murielle Lorinez;Evansville;37,9715592;-87,5710898;United States;No;E-D-2.5;Excelca;Dark;2,5;27,945;1,1178;3,07395;18,4437
BQK-38412-229;13/12/2019;3;90392-73338-BC;Natal Vigrass;Whitwell;53,284984;-1,2101928;United Kingdom;No;R-L-0.2;Robusta;Light;0,2;3,585;1,7925;0,2151;0,6453
BRB-40903-533;15/06/2022;3;09020-56774-GU;Marie-jeanne Redgrave;Springfield;37,208958;-93,292297;United States;Yes;E-L-0.2;Excelca;Light;0,2;4,455;2,2275;0,49005;1,47015
BRJ-19414-277;17/09/2019;4;16809-16936-WF;Modesty MacConnechie;Charleston;32,7833163;-79,9319664;United States;Yes;R-M-0.2;Robusta;Medium;0,2;2,985;1,4925;0,1791;0,7164
BRV-64870-915;16/04/2019;5;32070-55528-UG;Samuele Ales0;Ballinroad;52,1037518;-7,5734156;Ireland;No;L-L-2.5;Liberica;Light;2,5;36,455;1,4582;4,73915;23,69575
BVU-77367-451;20/10/2020;5;77421-46059-RY;Borg Daile;Atlanta;33,748752;-84,3876845;United States;Yes;A-D-1;Arabika;Dark;1;9,95;0,995;0,8955;4,4775
BWK-39400-446;12/09/2019;4;61302-06948-EH;Fleur Parres;Rochester;43,1565779;-77,6088465;United States;Yes;L-D-0.5;Liberica;Dark;0,5;7,77;1,554;1,0101;4,0404
BWR-85735-955;14/12/2019;3;32638-38620-AX;Burnard Bartholin;Tulsa;36,1539816;-95,992775;United States;Yes;L-M-1;Liberica;Medium;1;14,55;1,455;1,8915;5,6745
BWZ-46364-547;09/09/2021;3;64918-67725-MN;Yardley Basill;Pittsburgh;40,4406248;-79,9958864;United States;Yes;R-L-1;Robusta;Light;1;11,95;1,195;0,717;2,151
BXH-62195-013;11/11/2021;4;94526-79230-GZ;Mindy Bogey;Washington;38,9071923;-77,0368707;United States;Yes;A-M-1;Arabika;Medium;1;11,25;1,125;1,0125;4,05
BXN-64230-789;19/12/2020;2;25598-77476-CB;Diane-marie Wincer;El Paso;31,7618778;-106,4850217;United States;Yes;A-L-1;Arabika;Light;1;12,95;1,295;1,1655;2,331
BYP-16005-016;01/08/2021;5;01474-63436-TP;Read Cutts;Rockford;42,2711311;-89,0939952;United States;No;R-M-2.5;Robusta;Medium;2,5;22,885;0,9154;1,3731;6,8655
BYU-58154-603;17/12/2020;4;51971-70393-QM;Claiborne Feye;Castlebridge;52,3824281;-6,4502872;Ireland;No;E-D-0.5;Excelca;Dark;0,5;7,29;1,458;0,8019;3,2076
BYZ-39669-954;18/07/2020;1;66408-53777-VE;Lyndsey Megany;Buffalo;42,8864468;-78,8783689;United States;No;L-L-2.5;Liberica;Light;2,5;36,455;1,4582;4,73915;4,73915
BZE-96093-118;19/10/2021;2;43452-18035-DH;Alva Filipczak;Moycullen;53,3387481;-9,1814776;Ireland;No;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;1,1349
BZP-33213-637;05/05/2020;3;77175-09826-SF;Lindon Agnolo;Tulsa;36,1539816;-95,992775;United States;Yes;A-M-2.5;Arabika;Medium;2,5;25,875;1,035;2,32875;6,98625
CBT-15092-420;17/12/2019;1;71364-35210-HS;Wain Cholomin;Birmingham;54,7023545;-3,2765753;United Kingdom;Yes;L-M-0.5;Liberica;Medium;0,5;8,73;1,746;1,1349;1,1349
CBT-55781-720;15/11/2021;3;97855-54761-IS;Dottie Tift;Greensboro;36,0726354;-79,7919754;United States;Yes;E-D-0.5;Excelca;Dark;0,5;7,29;1,458;0,8019;2,4057
CCZ-19589-212;27/03/2021;2;05754-41702-FG;Kristos Streight;Wilkes Barre;41,2459149;-75,8813075;United States;No;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;1,1349
CFZ-53492-600;14/03/2022;1;64896-18468-BT;Selle Scurrer;Upton;52,5907194;-0,3672758;United Kingdom;No;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;0,56745
CGO-79583-871;04/03/2019;1;37182-54930-XC;Wesley Giorgioni;San Francisco;37,7749295;-122,4194155;United States;Yes;E-D-0.5;Excelca;Dark;0,5;7,29;1,458;0,8019;0,8019
CHE-78995-767;02/08/2022;3;00888-74814-UZ;Theresita Newbury;Clonskeagh;53,3084815;-6,2418651;Ireland;No;A-D-0.5;Arabika;Dark;0,5;5,97;1,194;0,5373;1,6119
CIX-22904-641;17/09/2019;1;78012-56878-UB;Grazia Oats;Los Angeles;34,0549076;-118,242643;United States;Yes;R-M-1;Robusta;Medium;1;9,95;0,995;0,597;0,597
CKF-43291-846;10/03/2020;1;91829-99544-DS;Odille Thynne;Whittier;33,9791793;-118,032844;United States;Yes;E-L-2.5;Excelca;Light;2,5;34,155;1,3662;3,75705;3,75705
CKS-47815-571;02/11/2021;3;45666-86771-EH;Ardith Chill;Thorpe;53,733326;-1,526334;United Kingdom;Yes;L-L-0.5;Liberica;Light;0,5;9,51;1,902;1,2363;3,7089
CLJ-23403-689;03/04/2021;2;19413-02045-CG;Jammie Cloke;Newton;50,529644;-3,61121;United Kingdom;No;R-L-1;Robusta;Light;1;11,95;1,195;0,717;1,434
CNJ-56058-223;11/08/2020;3;40780-22081-LX;Alberta Balsdone;Largo;27,909467;-82,7873244;United States;No;L-L-0.5;Liberica;Light;0,5;9,51;1,902;1,2363;3,7089
CNY-06284-066;26/06/2021;5;63985-64148-MG;Donica Bonhome;Knoxville;35,9606384;-83,9207392;United States;Yes;E-D-0.2;Excelca;Dark;0,2;3,645;1,8225;0,40095;2,00475
COL-72079-610;09/12/2020;4;38487-01549-MV;Godfry Poinsett;Pasadena;34,1477849;-118,1445155;United States;No;E-L-0.5;Excelca;Light;0,5;8,91;1,782;0,9801;3,9204
COV-52659-202;12/02/2021;2;99899-54612-NX;Reggie Thickpenny;Los Angeles;34,0549076;-118,242643;United States;No;L-M-2.5;Liberica;Medium;2,5;33,465;1,3386;4,35045;8,7009
CPV-90280-133;20/03/2019;3;66458-91190-YC;Marja Urion;Virginia;53,8350708;-7,0831588;Ireland;Yes;R-D-0.2;Robusta;Dark;0,2;2,685;1,3425;0,1611;0,4833
CPW-34587-459;26/03/2021;6;84641-67384-TD;Milty Middis;Wichita;37,6871761;-97,330053;United States;Yes;A-L-2.5;Arabika;Light;2,5;29,785;1,1914;2,68065;16,0839
CPX-19312-088;31/07/2020;6;38387-64959-WW;Franny Kienlein;Coolock;53,3882315;-6,199216;Ireland;Yes;L-M-0.5;Liberica;Medium;0,5;8,73;1,746;1,1349;6,8094
CPX-46916-770;27/08/2021;6;12729-50170-JE;Zachariah Carlson;Shankill;53,2332663;-6,1237578;Ireland;Yes;R-L-1;Robusta;Light;1;11,95;1,195;0,717;4,302
CQM-49696-263;25/10/2019;3;76534-45229-SG;Sheppard Yann;Colorado Springs;38,8338816;-104,8213634;United States;Yes;L-L-2.5;Liberica;Light;2,5;36,455;1,4582;4,73915;14,21745
CQW-37388-302;03/07/2019;3;97741-98924-KT;Willabella Harvison;Philadelphia;39,9525839;-75,1652215;United States;No;A-D-2.5;Arabika;Dark;2,5;22,885;0,9154;2,05965;6,17895
CRK-07584-240;31/01/2021;3;18741-72071-PP;Ermin Beeble;Cincinnati;39,1031182;-84,5120196;United States;Yes;A-M-1;Arabika;Medium;1;11,25;1,125;1,0125;3,0375
CSW-59644-267;28/02/2020;1;60378-26473-FE;Benedikta Paumier;Ballisodare;54,2121162;-8,5090366;Ireland;Yes;E-M-2.5;Excelca;Medium;2,5;31,625;1,265;3,47875;3,47875
CTE-31437-326;02/01/2019;4;22721-63196-UJ;Gladi Ducker;Belfast;54,597285;-5,93012;United Kingdom;No;L-D-1;Liberica;Dark;1;12,95;1,295;1,6835;6,734
CTE-31437-326;02/01/2019;3;22721-63196-UJ;Gladi Ducker;Belfast;54,597285;-5,93012;United Kingdom;No;L-L-0.2;Liberica;Light;0,2;4,755;2,3775;0,61815;1,85445
CTE-31437-326;02/01/2019;4;22721-63196-UJ;Gladi Ducker;Belfast;54,597285;-5,93012;United Kingdom;No;E-M-0.2;Excelca;Medium;0,2;4,125;2,0625;0,45375;1,815
CTE-31437-326;02/01/2019;4;22721-63196-UJ;Gladi Ducker;Belfast;54,597285;-5,93012;United Kingdom;No;R-M-0.2;Robusta;Medium;0,2;2,985;1,4925;0,1791;0,7164
CUN-90044-279;29/01/2021;4;86646-65810-TD;Kenton Wetherick;Lexington;38,0405837;-84,5037164;United States;Yes;L-D-0.2;Liberica;Dark;0,2;3,885;1,9425;0,50505;2,0202
CUU-92244-729;11/07/2020;3;99735-44927-OL;Julius Mccaull;San Rafael;37,9735346;-122,5310874;United States;Yes;E-M-1;Excelca;Medium;1;13,75;1,375;1,5125;4,5375
CVA-64996-969;24/06/2020;6;13324-78688-MI;Cordy Odgaard;Portland;45,515232;-122,6783853;United States;No;A-L-1;Arabika;Light;1;12,95;1,295;1,1655;6,993
CVE-15042-481;01/01/2022;2;24972-55878-KX;Foster Constance;Dallas;32,7766642;-96,7969879;United States;No;R-L-1;Robusta;Light;1;11,95;1,195;0,717;1,434
CVP-18956-553;04/08/2021;3;86561-91660-RB;Beryle Cottier;Scranton;41,408969;-75,6624122;United States;No;L-D-1;Liberica;Dark;1;12,95;1,295;1,6835;5,0505
CWK-60159-881;27/01/2020;3;04671-85591-RT;Theda Grizard;Tampa;27,9516896;-82,4587527;United States;Yes;E-D-0.2;Excelca;Dark;0,2;3,645;1,8225;0,40095;1,20285
CWT-27056-328;04/06/2022;6;18570-80998-ZS;Josefina Ferens;New York City;40,7127753;-74,0059728;United States;Yes;E-D-0.2;Excelca;Dark;0,2;3,645;1,8225;0,40095;2,4057
CXD-74176-600;07/04/2019;4;70624-19112-AO;Chickie Ragless;Caherconlish;52,5951658;-8,4723577;Ireland;No;E-L-0.5;Excelca;Light;0,5;8,91;1,782;0,9801;3,9204
CXI-04933-855;27/04/2019;6;62923-29397-KX;Lacee Tanti;Corpus Christi;27,8005828;-97,396381;United States;Yes;E-L-2.5;Excelca;Light;2,5;34,155;1,3662;3,75705;22,5423
CYH-53243-218;18/12/2020;3;88167-57964-PH;Adelice Isabell;Charleston;32,7833163;-79,9319664;United States;No;R-M-0.5;Robusta;Medium;0,5;5,97;1,194;0,3582;1,0746
CYM-74988-450;16/10/2020;4;87223-37422-SK;Rufus Flear;Sheffield;53,381129;-1,470085;United Kingdom;No;L-D-0.2;Liberica;Dark;0,2;3,885;1,9425;0,50505;2,0202
CYV-13426-645;06/07/2019;1;88593-59934-VU;Evelina Dacca;Evansville;37,9715592;-87,5710898;United States;Yes;E-D-1;Excelca;Dark;1;12,15;1,215;1,3365;1,3365
CYZ-37122-164;06/01/2019;2;21798-04171-XC;Wilton Cottier;San Jose;37,33874;-121,8852525;United States;No;E-M-0.5;Excelca;Medium;0,5;8,25;1,65;0,9075;1,815
CZD-56716-840;28/02/2019;4;15456-29250-RU;Jaimie Hatz;El Paso;31,7618778;-106,4850217;United States;No;L-D-2.5;Liberica;Dark;2,5;29,785;1,1914;3,87205;15,4882
CZF-40873-691;30/06/2019;2;64988-20636-XQ;Silas Deehan;Charlton;51,4826053;0,0365359;United Kingdom;No;E-M-0.5;Excelca;Medium;0,5;8,25;1,65;0,9075;1,815
CZG-01299-952;12/02/2019;2;09540-70637-EV;Jarret Toye;Ballivor;53,5329521;-6,9680717;Ireland;Yes;L-D-1;Liberica;Dark;1;12,95;1,295;1,6835;3,367
CZG-86544-655;23/04/2022;2;69443-77665-QW;Henderson Crowne;Sallins;53,251067;-6,6652312;Ireland;Yes;A-L-0.5;Arabika;Light;0,5;7,77;1,554;0,6993;1,3986
CZY-70361-485;25/06/2019;6;83308-82257-UN;Nanny Lush;Ballivor;53,5329521;-6,9680717;Ireland;No;E-L-2.5;Excelca;Light;2,5;34,155;1,3662;3,75705;22,5423
DAH-46595-917;12/09/2021;6;27878-42224-QF;Nissie Rudland;Gorey;52,675307;-6,295941;Ireland;No;A-D-1;Arabika;Dark;1;9,95;0,995;0,8955;5,373
DBC-44122-300;04/11/2020;3;13366-78506-KP;Aube Follett;Columbus;39,9611755;-82,9987942;United States;Yes;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;1,70235
DBU-81099-586;11/09/2020;4;15770-27099-GX;Raynor McGilvary;Norfolk;36,8507689;-76,2858726;United States;No;A-D-2.5;Arabika;Dark;2,5;22,885;0,9154;2,05965;8,2386
DCE-22886-861;05/04/2021;1;56060-17602-RG;Harland Trematick;Monasterevin;53,1400651;-7,060377;Ireland;Yes;E-D-0.2;Excelca;Dark;0,2;3,645;1,8225;0,40095;0,40095
DCI-96254-548;14/06/2022;6;94091-86957-HX;Jimmy Dymoke;Beaumont;52,865196;-7,9794599;Ireland;No;A-D-0.2;Arabika;Dark;0,2;2,985;1,4925;0,26865;1,6119
DDO-71442-967;12/04/2019;5;89422-58281-FD;Alisun Baudino;Washington;38,9071923;-77,0368707;United States;Yes;L-D-0.2;Liberica;Dark;0,2;3,885;1,9425;0,50505;2,52525
DEC-11160-362;13/10/2021;4;48582-05061-RY;Amii Gallyon;Naperville;41,7508391;-88,1535352;United States;Yes;R-D-0.2;Robusta;Dark;0,2;2,685;1,3425;0,1611;0,6444
DFK-35846-692;03/11/2019;5;49612-33852-CN;Marris Grcic;Lynchburg;37,4137536;-79,1422464;United States;Yes;R-D-0.2;Robusta;Dark;0,2;2,685;1,3425;0,1611;0,8055
DFS-49954-707;21/12/2021;5;39019-13649-CL;Giacobo Skingle;Provo;40,2338438;-111,6585337;United States;Yes;E-D-0.2;Excelca;Dark;0,2;3,645;1,8225;0,40095;2,00475
DFZ-45083-941;21/11/2020;1;34665-62561-AU;Tani Taffarello;Saint Louis;38,6270025;-90,1994042;United States;Yes;R-L-2.5;Robusta;Light;2,5;27,485;1,0994;1,6491;1,6491
DGC-21813-731;27/04/2022;2;43606-83072-OA;Channa Belamy;Lakeland;28,0394654;-81,9498042;United States;No;L-D-0.2;Liberica;Dark;0,2;3,885;1,9425;0,50505;1,0101
DGL-29648-995;16/07/2021;2;59367-30821-ZQ;Silvio Iorizzi;Spartanburg;34,9495672;-81,9320482;United States;Yes;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;1,1349
DGY-35773-612;25/07/2020;3;17503-27693-ZH;Hamish MacSherry;Austin;30,267153;-97,7430608;United States;Yes;E-L-1;Excelca;Light;1;14,85;1,485;1,6335;4,9005
DGZ-82537-477;14/08/2020;5;43439-94003-DW;Flynn Antony;Birmingham;54,7023545;-3,2765753;United Kingdom;No;R-D-1;Robusta;Dark;1;8,95;0,895;0,537;2,685
